t,omega_fw1,omega_fw2,omega_fw3,omega_fw4
42450.1348099903,746.985620919068,989.617113035676,718.084814826437,877.540882247115
42473.7348849377,743.108686959159,986.096872446741,721.874152101276,881.643346819743
42497.3349598851,739.289665006388,982.522753854086,725.699654244942,885.712453824118
42520.9350348324,735.531002296377,978.89705308936,729.558866097403,889.745593282178
42544.5351097798,731.835109108211,975.222096338684,733.449312933187,893.740177555979
42568.3351853623,728.173878886492,971.468505375821,737.401828819493,897.726958874224
42591.9352603097,724.611204263825,967.701768458462,741.3474530056,901.636366566442
42615.5353352571,721.118331361525,963.892948620805,745.316755496827,905.499568030853
42639.1354102044,717.697510825078,960.044481828066,749.307195615263,909.314077755682
42662.7354851518,714.350950657468,956.158828260491,753.316219511119,913.077438856931
42686.3355600991,711.080815119309,952.238471065914,757.341261451197,916.787224310766
42710.1356356817,707.862517862597,948.252288489007,761.414019594478,920.471756732011
42733.735710629,704.752235935661,944.269818460668,765.463440270136,924.066730965353
42757.3357855764,701.724615205372,940.260241134262,769.521101394284,927.601020164305
42780.9358605238,698.781633891897,936.226119077476,773.584402580763,931.072329119163
42804.5359354711,695.925221205603,932.170031480939,777.650738054791,934.478398478323
42828.1360104185,693.157256337831,928.094572869613,781.71749796097,937.817005916587
42851.936086001,690.45726607301,923.967607828473,785.81649836979,941.113366580635
42875.5361609484,687.872416920759,919.861137005256,789.87621594766,944.309919643791
42899.1362358958,685.381357540052,915.743180102201,793.928494899832,947.432559851235
42922.7363108431,682.985756774327,911.616380019255,797.970722229564,950.479224832595
42946.3363857905,680.687228605435,907.483388417466,802.000287476239,953.447894951553
42969.9364607379,678.487331229623,903.346864381327,806.014584050726,956.33659441664
42993.7365363204,676.370203585919,899.174414363489,810.044794806312,959.166823399135
43017.3366112677,674.372881529183,895.038852360392,814.020571964836,961.889117083184
43040.9366862151,672.478532609652,890.907788872014,817.973275458119,964.5257713996
43064.5367611625,670.688482430059,886.783899131576,821.900327724589,967.074997259918
43088.1368361099,669.003996404178,882.669858959567,825.799161841241,969.535054833992
43111.7369110572,667.426278924491,878.568343370375,829.667222891204,971.90425459955
43135.5369866397,665.944480819714,874.447467934684,833.534317588409,974.199852652577
43159.1370615871,664.584593548577,870.379179108478,837.332908157511,976.381670719121
43182.7371365345,663.334722140419,866.331443542622,841.093125501997,978.467861829541
43206.3372114818,662.195818367737,862.306918835583,844.812476671479,980.456948427213
43229.9372864292,661.168769069905,858.308254652407,848.488487654973,982.347508346168
43253.5373613766,660.254395427138,854.338091271656,852.118704781581,984.138175788246
43277.3374369591,659.447151326359,850.365817007709,855.730838998717,985.841523729299
43300.9375119065,658.76129623577,846.460828335874,859.261756463249,987.4276656939
43324.5375868538,658.190184388678,842.592212302232,862.739635085951,988.910155719096
43348.1376618012,657.734366890948,838.762556774802,866.16211688979,990.287863479781
43371.7377367486,657.394325863876,834.974432809675,869.526871326471,991.55971969402
43395.3378116959,657.170473847657,831.230393140023,872.83159670449,992.724717008192
43418.9378866433,657.063153229228,827.532970656211,876.074021620587,993.781910864302
43442.7379622258,657.073215802146,823.85397620658,879.278555491553,994.737991753028
