time,x,y,yaw,vx,vy,omega
1.177260160446167,-0.07323806893873905,0.3515971041202954,2.6324519534853046,0.0,0.0,0.0
1.3328263759613037,-0.08686855266056352,0.3590620454457657,2.688488692599977,0.0,0.0,0.0
1.4841926097869873,-0.10048041852910614,0.3660648069333277,2.7445390446340356,0.0,0.0,0.0
1.5517888069152832,-0.10714001381214602,0.3688547825707216,2.7693066708141054,0.0,0.0,0.0
1.6370460987091064,-0.11522640699737428,0.37257248967928813,2.800091636038037,0.0,0.0,0.0
1.7048163414001465,-0.12319978902181182,0.37528777600465696,2.823930609138974,0.0,0.0,0.0
1.7730388641357422,-0.12983783312144817,0.37775584449206523,2.8478235165136407,0.0,0.0,0.0
1.8412902355194092,-0.13661448746087904,0.3801268056658053,2.871126994432857,0.0,0.0,0.0
1.8926379680633545,-0.14162444305624675,0.3814138178728827,2.8887976915670768,0.0,0.0,0.0
2.0624351501464844,-0.15949804917173774,0.38629594290334596,2.9476615151250787,0.0,0.0,0.0
2.200092315673828,-0.17149944987246019,0.3891525392962951,2.9930808506293127,0.0,0.0,0.0
2.2679924964904785,-0.17961786489025272,0.39076435125139075,3.0151364973413366,0.0,0.0,0.0
2.3359718322753906,-0.18416341533123703,0.3915585214766036,3.0370004467912466,0.0,0.0,0.0
2.3873684406280518,-0.19027635592651765,0.3922349473275701,3.053151218310631,0.0,0.0,0.0
2.4565274715423584,-0.19706813798810596,0.3934203502255958,3.075325348782355,0.0,0.0,0.0
2.540980100631714,-0.20744131177891198,0.3944377910416249,3.1024333030024134,0.0,0.0,0.0
2.6101951599121094,-0.21532598695768548,0.3950745005337354,3.12513000566479,0.0,0.0,0.0
2.6613197326660156,-0.2198260301705092,0.39511741795587735,3.139983366643676,0.0,0.0,0.0
2.7290103435516357,-0.2275856138135635,0.3955587209281279,-3.1207177134957447,0.0,0.0,0.0
2.7799129486083984,-0.23254681480752062,0.39537817492328886,-3.1031656242624366,0.0,0.0,0.0
2.916168689727783,-0.24901722186474967,0.3948678696798494,-3.056905403140529,0.0,0.0,0.0
2.9502830505371094,-0.25297103552243977,0.39459191294614765,-3.044842386572297,0.0,0.0,0.0
2.984083890914917,-0.25685514377024693,0.3942974904230099,-3.0327586754301077,0.0,0.0,0.0
3.05552339553833,-0.524533863195469,0.30539350450822933,-2.6566041634367394,0.0,0.0,0.0
3.1235671043395996,-0.5370443058030917,0.2986698290124496,-2.6407015983255016,0.0,0.0,0.0
3.208204746246338,-0.5446544725053241,0.2962247926147817,-2.621180024913324,0.0,0.0,0.0
3.259382963180542,-0.5368693379875511,0.3016061643193292,-2.6101131979723045,0.0,0.0,0.0
3.2939844131469727,-0.5323200643370053,0.3046124705833408,-2.603213848507816,0.0,0.0,0.0
3.3451943397521973,-0.524661886351774,0.3097687608374951,-2.593132957800572,0.0,0.0,0.0
3.4811177253723145,-0.5027899615115993,0.32174216209843354,-2.5659456890808006,0.0,0.0,0.0
3.5682873725891113,-0.4952029511305263,0.32718761826115556,-2.5491651005429934,0.0,0.0,0.0
3.670194149017334,-0.4909362792182782,0.3305205901800559,-2.5305392707939975,0.0,0.0,0.0
3.7391197681427,-0.49380735593785163,0.3294792526038695,-2.519163613065715,0.0,0.0,0.0
3.77311110496521,-0.49944889333993653,0.3266082809311985,-2.5133732913345033,0.0,0.0,0.0
3.8071722984313965,-0.5050777988903705,0.32374989850761604,-2.507581803341265,0.0,0.0,0.0
3.927184581756592,-0.5072327145986778,0.3236647412052437,-2.4899923405521673,0.0,0.0,0.0
3.9794018268585205,-0.5069988637874691,0.32438671697577837,-2.483890261329797,0.0,0.0,0.0
4.048454284667969,-0.506547541780898,0.32558652872667454,-2.476118391096368,0.0,0.0,0.0
4.134223937988281,-0.5077427400299284,0.32549705775325266,-2.4667698256598642,0.0,0.0,0.0
4.219220399856567,-0.5082111005332259,0.32625906189941345,-2.457901508425774,0.0,0.0,0.0
4.270472288131714,-0.50934495263651,0.3258943642488326,-2.452607414675162,0.0,0.0,0.0
4.339560031890869,-0.5064162632775564,0.32843443576628545,-2.4462003336255473,0.0,0.0,0.0
4.390343427658081,-0.5097580287794763,0.3255236320713531,-2.4419449496624908,0.0,0.0,0.0
4.475332021713257,-0.5168571226466746,0.3199606675534411,-2.4353938529732844,0.0,0.0,0.0
4.594187498092651,-0.5274073555379934,0.3115438602512572,-2.428758471072666,0.0,0.0,0.0
4.646577835083008,-0.5322395852513591,0.30770762402622265,-2.426543030324686,0.0,0.0,0.0
4.731560945510864,-0.5467526375182018,0.3009195715216209,-2.4224927009343613,0.0,0.0,0.0
4.799612760543823,-0.5563515884915795,0.2962441748824032,-2.4191805534198934,0.0,0.0,0.0
4.918701171875,-0.566045151757312,0.2884207753815268,-2.4113373986238993,0.0,0.0,0.0
4.952472925186157,-0.5673144976986544,0.2876313612185888,-2.4087614671487456,0.0,0.0,0.0
5.00334095954895,-0.57203268343727,0.28359902500862016,-2.403788911268118,0.0,0.0,0.0
5.054518222808838,-0.5771937745360086,0.27910427981979125,-2.3982006965870113,0.0,0.0,0.0
5.105506181716919,-0.5827655930437943,0.2740873322379569,-2.3920752440684607,0.0,0.0,0.0
5.139291524887085,-0.5867688291097508,0.27041351789555357,-2.387905894217176,0.0,0.0,0.0
5.19035267829895,-0.5919723418498095,0.2656316428040553,-2.381424591986251,0.0,0.0,0.0
5.224323749542236,-0.5953535755715598,0.2624680963484879,-2.3766644483328556,0.0,0.0,0.0
5.2760009765625,-0.6003730737725629,0.25771246266235215,-2.369134524693627,0.0,0.0,0.0
5.344671964645386,-0.607114880723101,0.25114072046056884,-2.358668306465845,0.0,0.0,0.0
5.498070240020752,-0.6227119232835796,0.2351371634168849,-2.3310141880290964,0.0,0.0,0.0
5.565866231918335,-0.6293085429797785,0.22799065434490648,-2.317292455806766,0.0,0.0,0.0
5.720115900039673,-0.6455844307223226,0.2122816846503086,-2.2838661995932648,0.0,0.0,0.0
5.770793914794922,-0.6535136985637088,0.20758415458356042,-2.272345721159896,0.0,0.0,0.0
5.855898857116699,-0.6645214566218499,0.1999440908996458,-2.252656244980603,0.0,0.0,0.0
