t,delta_dot1,delta_dot2,delta_dot3,delta_dot4,omega_fw1,omega_fw2,omega_fw3,omega_fw4,rx,ry,rz,Ex,Ey,Ez,n,tau_dist_x,tau_dist_y,tau_dist_z,tau_mtq_x,tau_mtq_y,tau_mtq_z,S_CMG,S_RW
61214.5944007697,0,-0,0,0,841.940640631011,895.637646021072,786.746523520404,819.91839734944,3286771.1552255,4198938.98857014,-4331127.16267801,0.490384625062745,-0.439771392342324,-0.751759160785274,-0.0313401683911385,-2.1323070991453e-09,-2.13961630618401e-07,-1.55755603789865e-14,-7.0766271735411e-07,3.04181122415709e-07,-1.6013864242014e-08,1.69842059645786,1.29532962928254
61238.194475717,0,-0,0,0,842.243547905969,895.780196448653,786.569612729241,819.628949906155,3377791.46406644,4265504.26296837,-4190922.51865204,0.496104546607257,-0.433311501746346,-0.751282566683404,-0.0411816256057314,-2.18649059659601e-09,-2.20522440663289e-07,-1.58213123674442e-14,-6.94040865731083e-07,3.14610767505346e-07,-1.62353533891868e-08,1.69842059645786,1.29532962928254
61261.7945506644,0,-0,0,0,842.546354225139,895.935426347944,786.381752416995,819.336180130341,3466499.81008833,4329149.97605966,-4047841.33965579,0.501742419110272,-0.426773613473208,-0.750676779685645,-0.0510215655304993,-2.24030135992905e-09,-2.27248990724128e-07,-1.60855992628573e-14,-6.79765338105988e-07,3.2488047134751e-07,-1.6472948244145e-08,1.69842059645786,1.29532962928254
61285.3946256118,0,-0,0,-0,842.848907469082,896.103512875675,786.182823567102,819.040159337321,3552833.20368396,4389829.72697028,-3901979.1692746,0.507297113287859,-0.420158744143996,-0.749941691683141,-0.0608582586390244,-2.29358390917448e-09,-2.34139948550736e-07,-1.63693821776648e-14,-6.647789640468e-07,3.34946794672338e-07,-1.67275450653654e-08,1.69842059645786,1.29532962928254
61309.1947011943,0,-0,0,-0,843.153636281413,896.286250062467,785.970852082128,818.738384463445,3637430.58924075,4447974.81922818,-3752163.62460065,0.512813505975842,-0.413410906911375,-0.749069339734183,-0.0707732605273625,-2.34661574058139e-09,-2.41253962233238e-07,-1.66762860182972e-14,-6.48885376186595e-07,3.44839601947806e-07,-1.7002422142147e-08,1.69842059645786,1.29532962928254
61332.7947761416,0,-0,0,-0,843.455314421394,896.480798335442,785.749225867805,818.435944869065,3718809.85867956,4502565.30781213,-3601013.04303166,0.518197768514409,-0.406644574689501,-0.748074325733974,-0.0805981746688028,-2.39833032925371e-09,-2.48469113432243e-07,-1.70020962180394e-14,-6.32290190181199e-07,3.54330383818508e-07,-1.72938344505735e-08,1.69842059645786,1.29532962928254
61356.394851089,0,-0,0,-0,843.756431179561,896.688897311883,785.516006718449,818.130302258788,3797634.07901571,4554062.26422298,-3447381.42250366,0.523495518786049,-0.399804439564552,-0.746949833407927,-0.0904145911193028,-2.44899337060297e-09,-2.5584160842625e-07,-1.73502014656185e-14,-6.14801136991246e-07,3.63430557797255e-07,-1.76048420944058e-08,1.69842059645786,1.29532962928254
61379.9949260364,0,-0,0,-0,844.056949080935,896.910838106129,785.270956163024,817.821402867468,3873846.67918484,4602427.41191674,-3291372.41313922,0.528705671245664,-0.392891597597939,-0.745695854220421,-0.100220749987651,-2.49841286785068e-09,-2.63367981458083e-07,-1.772143515701e-14,-5.96356129212698e-07,3.72054836209908e-07,-1.79362060058363e-08,1.69842059645786,1.29532962928254
61403.5950009837,0,-0,0,-0,844.356872118706,897.146944988498,785.013799367479,817.509149981764,3947392.81114444,4647624.59498915,-3133091.52396698,0.533827152423677,-0.385907164536823,-0.744312405386572,-0.110014884820339,-2.54638825605259e-09,-2.71044163407224e-07,-1.81165350582558e-14,-5.7689430939509e-07,3.80104058498823e-07,-1.82885891405967e-08,1.69842059645786,1.29532962928254
61427.1950759311,0,-0,0,-0,844.656252024899,897.397576717346,784.744222767234,817.193398487495,4018219.39666052,4689619.81296876,-2972646.05346984,0.538858901401068,-0.378852275724351,-0.742799530221756,-0.11979522303353,-2.59271078392358e-09,-2.78865455836641e-07,-1.85361036452906e-14,-5.56357674950592e-07,3.87463672598883e-07,-1.86625172795338e-08,1.69842059645786,1.29532962928254
61450.9951515136,0,-0,0,-0,844.957727085857,897.665442727351,784.459423547379,816.871225412493,4086839.93404203,4728695.83614291,-2808759.42230113,0.54384135201706,-0.371667418709873,-0.741142828755491,-0.129642666935332,-2.63753208275535e-09,-2.86894553314552e-07,-1.89844336972003e-14,-5.3450458709929e-07,3.94053697603246e-07,-1.90617794220799e-08,1.69842059645786,1.29532962928254
61474.595226461,0,-0,0,-0,845.25640018993,897.946473673194,784.16378867808,816.547783911854,4152051.39307831,4764166.13379182,-2644297.47819473,0.548689723975999,-0.364474529967402,-0.739370242037879,-0.139389917128291,-2.67987362110406e-09,-2.94990437926223e-07,-1.94541670379125e-14,-5.11656455192517e-07,3.99612388719868e-07,-1.94797623513781e-08,1.69842059645786,1.29532962928254
61498.1953014084,0,-0,0,-0,845.555044918243,898.243320891532,783.854539593777,816.220056479833,4214394.74750774,4796345.50141413,-2478003.81778005,0.55344525252515,-0.357214718076086,-0.737468520064317,-0.149118005490087,-2.71989011749812e-09,-3.03213263232263e-07,-1.99488267218063e-14,-4.87599674626343e-07,4.04029114606077e-07,-1.99195108935272e-08,1.69842059645786,1.29532962928254
61521.7953763557,0,-0,0,-0,845.853977563691,898.55648082529,783.531193604474,815.887644835141,4273824.46120037,4825208.89782012,-2309992.17514681,0.558106931933488,-0.349889195621489,-0.735437814095151,-0.15882513942724,-2.7573456760206e-09,-3.1155557780982e-07,-2.04678782953242e-14,-4.6231396432818e-07,4.07113506739043e-07,-2.03804145534219e-08,1.69842059645786,1.29532962928254
61545.3954513031,0,-0,0,-0,846.153600240065,898.886478397849,783.193226952073,815.550073120196,4330296.9852877,4850733.5885659,-2140377.6963037,0.562673771488509,-0.342499194027298,-0.733278303090503,-0.168509522538818,-2.79199953732331e-09,-3.20009195986605e-07,-2.10102959264863e-14,-4.35798138022771e-07,4.08654001585217e-07,-2.08613768744839e-08,1.69842059645786,1.29532962928254
61568.9955262505,0,-0,0,-0,846.454408623012,899.233861220671,782.840078237004,815.206783250218,4383770.7977522,4872899.1711796,-1969276.85821937,0.56714479601289,-0.335045963340836,-0.730990193988031,-0.178169355103085,-2.82360704819178e-09,-3.28565183939074e-07,-2.15744537612511e-14,-4.08075411900554e-07,4.08418024767512e-07,-2.13607112730775e-08,1.69842059645786,1.29532962928254
61592.795601833,0,-0,0,-0,846.759572803226,899.602365712405,782.467958417849,814.854139191962,4434620.77123471,4891832.34478651,-1795340.27134223,0.571555700067505,-0.327466822834547,-0.728552695598508,-0.18788435645135,-2.85214589643595e-09,-3.37287509273083e-07,-2.21630262852535e-14,-3.78950030112584e-07,4.06124524994134e-07,-2.18804539944845e-08,1.69842059645786,1.29532962928254
61616.3956767804,0,-0,0,-0,847.06467180635,899.986367987452,782.082500113566,814.497331476407,4481954.67384523,4907199.13409056,-1621610.97459928,0.575831401706296,-0.319890448773585,-0.726007039912941,-0.197489431588748,-2.87688556305899e-09,-3.46019041739143e-07,-2.27629023516783e-14,-3.49003076560086e-07,4.01540250651455e-07,-2.24086285466896e-08,1.69842059645786,1.29532962928254
