t,x,y,yaw
17.577,-1.5671,-2.2985,-1.2707
17.645,-1.5619,-2.3135,-1.2216
17.713,-1.5554,-2.3297,-1.1689
17.781,-1.5471,-2.3479,-1.1126
17.849,-1.5366,-2.3676,-1.0526
17.917,-1.5236,-2.3888,-0.9889
17.985,-1.5078,-2.4112,-0.9216
18.053,-1.489,-2.4342,-0.8505
18.121,-1.4668,-2.4577,-0.7758
18.19,-1.4407,-2.4813,-0.6961
18.258,-1.4114,-2.5038,-0.6139
18.326,-1.3773,-2.5256,-0.5283
18.394,-1.3378,-2.5464,-0.4393
18.462,-1.2925,-2.5652,-0.3472
18.53,-1.2447,-2.5806,-0.2545
18.598,-1.1977,-2.5922,-0.1653
18.666,-1.1528,-2.5994,-0.0792
18.734,-1.1101,-2.6016,0.0037
18.802,-1.0706,-2.6,0.0835
18.87,-1.0331,-2.5958,0.1599
18.938,-0.9981,-2.5899,0.2325
19.006,-0.9649,-2.5831,0.3013
19.074,-0.9333,-2.5758,0.3658
19.144,-0.9026,-2.5681,0.4269
19.211,-0.874,-2.5604,0.4825
19.279,-0.8467,-2.5532,0.5335
19.347,-0.8203,-2.5462,0.5797
19.415,-0.7947,-2.54,0.6211
19.483,-0.7701,-2.5348,0.6575
19.551,-0.7462,-2.5304,0.689
19.619,-0.7232,-2.527,0.7155
19.687,-0.701,-2.5244,0.7369
19.755,-0.6795,-2.5226,0.7533
19.823,-0.6588,-2.5214,0.7647
19.891,-0.6389,-2.5204,0.7711
19.959,-0.6198,-2.5193,0.7726
20.027,-0.6016,-2.518,0.769
20.095,-0.5844,-2.5163,0.7607
20.163,-0.5669,-2.514,0.7475
20.231,-0.549,-2.511,0.7297
20.299,-0.5304,-2.5072,0.7071
20.368,-0.5114,-2.5025,0.68
20.436,-0.4916,-2.4969,0.6477
20.505,-0.4716,-2.4905,0.6114
20.572,-0.4512,-2.4833,0.5706
20.64,-0.4303,-2.4755,0.5253
20.708,-0.4092,-2.4671,0.4758
20.776,-0.3877,-2.4585,0.4219
20.845,-0.3655,-2.4497,0.363
20.913,-0.3419,-2.4413,0.3011
20.981,-0.3152,-2.4337,0.2358
21.049,-0.2856,-2.4273,0.1671
21.12,-0.2523,-2.4216,0.093
21.188,-0.2165,-2.4186,0.0182
21.272,-0.1665,-2.4206,-0.0789
21.34,-0.1216,-2.4266,-0.1596
21.408,-0.0741,-2.4364,-0.2422
21.477,-0.0282,-2.4497,-0.3234
21.545,0.0128,-2.4652,-0.4001
21.613,0.0499,-2.4823,-0.4733
21.681,0.0821,-2.5002,-0.5426
21.749,0.1099,-2.518,-0.6077
21.817,0.1331,-2.5349,-0.6683
21.885,0.154,-2.5501,-0.7243
21.954,0.1723,-2.5646,-0.7759
22.022,0.1893,-2.5783,-0.8237
22.09,0.2035,-2.5907,-0.8662
22.175,0.2202,-2.6045,-0.9132
22.244,0.2312,-2.6138,-0.9457
22.328,0.243,-2.624,-0.9793
22.397,0.2528,-2.6314,-1.0011
22.465,0.263,-2.6377,-1.0178
22.533,0.2727,-2.6426,-1.0296
22.619,0.2835,-2.6476,-1.0374
22.686,0.2921,-2.6515,-1.0381
22.754,0.3014,-2.6561,-1.0342
22.822,0.3116,-2.6612,-1.0255
22.89,0.3229,-2.666,-1.0121
22.959,0.3357,-2.6703,-0.9938
23.027,0.3498,-2.6748,-0.9719
23.095,0.3654,-2.6799,-0.9465
23.164,0.383,-2.686,-0.9171
23.232,0.4021,-2.6927,-0.8847
23.3,0.4225,-2.7,-0.8493
23.368,0.4433,-2.7083,-0.8096
23.436,0.4639,-2.7173,-0.7663
23.505,0.4847,-2.7272,-0.7186
23.574,0.5049,-2.7375,-0.6678
23.642,0.5252,-2.7486,-0.6124
23.71,0.5449,-2.7598,-0.5541
23.779,0.5648,-2.7711,-0.4922
23.846,0.5873,-2.7822,-0.427
23.914,0.6125,-2.7927,-0.3587
23.982,0.641,-2.8022,-0.2875
24.05,0.6723,-2.8102,-0.2135
24.119,0.7063,-2.8166,-0.1366
24.186,0.7431,-2.8217,-0.0563
24.254,0.782,-2.8226,0.0273
24.339,0.8353,-2.8182,0.1363
24.443,0.9073,-2.8031,0.2756
24.511,0.9568,-2.7866,0.3709
24.578,1.0035,-2.766,0.4631
24.646,1.0473,-2.7426,0.5511
24.715,1.0876,-2.717,0.6347
24.801,1.1349,-2.6836,0.7337
24.886,1.1782,-2.6497,0.8248
24.972,1.2175,-2.6178,0.9071
25.039,1.247,-2.5936,0.9672
25.107,1.2749,-2.571,1.0221
25.176,1.301,-2.5502,1.072
25.245,1.3262,-2.5296,1.1175
25.313,1.3489,-2.5111,1.1557
25.381,1.3706,-2.4926,1.1918
25.449,1.3899,-2.4749,1.2241
25.534,1.4112,-2.454,1.2593
25.602,1.4262,-2.4382,1.2834
25.687,1.4428,-2.4196,1.3082
25.755,1.455,-2.4051,1.3243
25.823,1.4662,-2.391,1.3368
25.893,1.4766,-2.3772,1.3459
25.96,1.4867,-2.3634,1.3517
26.029,1.4966,-2.3495,1.354
26.113,1.5082,-2.3326,1.3525
26.181,1.5173,-2.3191,1.3481
26.266,1.53,-2.3001,1.3376
26.334,1.5406,-2.2844,1.3257
26.402,1.5522,-2.2675,1.3101
26.471,1.5641,-2.2505,1.292
26.539,1.5774,-2.232,1.2702
26.608,1.5922,-2.2121,1.2447
26.676,1.6083,-2.1915,1.2161
26.744,1.6262,-2.1696,1.1843
26.812,1.6459,-2.1467,1.1491
26.88,1.6667,-2.1226,1.1097
26.948,1.6882,-2.0973,1.0657
27.016,1.7103,-2.0709,1.0171
27.101,1.7387,-2.0367,0.9496
27.169,1.762,-2.0084,0.8903
27.237,1.7875,-1.9788,0.8264
27.305,1.8176,-1.9479,0.7579
27.374,1.8532,-1.9162,0.6838
27.442,1.8933,-1.8857,0.6071
27.51,1.9344,-1.8593,0.533
27.577,1.9751,-1.8372,0.4628
27.646,2.0148,-1.819,0.3958
27.715,2.0522,-1.8048,0.3339
